,coef,pvalue,ci_lower,ci_upper
Intercept,3.753626466486097,0.0,3.4845034286405343,4.022749504331659
C(prompt_type)[T.chain-of-thought],-0.4500371918273533,0.0207,-0.8306346418955921,-0.06943974175911455
C(prompt_type)[T.few-shot],-0.4005048010960831,0.0393,-0.7811022511643222,-0.019907351027844022
C(prompt_type)[T.parallel],-0.5507659115766328,0.0048,-0.9313633616448718,-0.17016846150839388
C(prompt_type)[T.zero-shot],-0.6097128862646157,0.0018,-0.9903103363328548,-0.22911543619637664
size,-0.004218110465986126,0.2752,-0.011818970301182074,0.0033827493692098207
size:C(prompt_type)[T.chain-of-thought],0.0009216656224816728,0.866,-0.009827573442149323,0.011670904687112668
size:C(prompt_type)[T.few-shot],-0.0014298545492706727,0.7934,-0.012179093613901647,0.0093193845153603
size:C(prompt_type)[T.parallel],-0.0014914208446111317,0.7847,-0.012240659909242101,0.009257818220019838
size:C(prompt_type)[T.zero-shot],0.0015417950617068771,0.7777,-0.00920744400292412,0.012291034126337875
