,coef,pvalue,ci_lower,ci_upper
Intercept,0.9612899019087295,0.0,0.9569179386497529,0.9656618651677061
C(prompt_type)[T.chain-of-thought],0.010479206130117734,0.001,0.004296316395076165,0.016662095865159304
C(prompt_type)[T.few-shot],0.0028307752684755146,0.3678,-0.003352114466566074,0.009013665003517104
C(prompt_type)[T.parallel],0.008558273166485726,0.0069,0.002375383431444127,0.014741162901527325
C(prompt_type)[T.zero-shot],0.012031086968605137,0.0002,0.005848197233563547,0.018213976703646727
size,0.00012937874598050868,0.3475,-0.00014145802688622313,0.0004002155188472405
size:C(prompt_type)[T.chain-of-thought],-0.0001148266453318116,0.5552,-0.0004978476827093049,0.0002681943920456817
size:C(prompt_type)[T.few-shot],-3.518536796921927e-05,0.8565,-0.0004182064053467132,0.0003478356694082747
size:C(prompt_type)[T.parallel],2.3132572255342672e-05,0.9054,-0.0003598884651221499,0.0004061536096328352
size:C(prompt_type)[T.zero-shot],-0.00015992748826010756,0.4114,-0.0005429485256376011,0.000223093549117386
