,coef,pvalue,ci_lower,ci_upper
Intercept,0.489933661905108,0.0,0.2801330755140482,0.6997342482961678
C(prompt_type)[T.chain-of-thought],-0.1510837080655211,0.3167,-0.447786542733582,0.14561912660253976
C(prompt_type)[T.few-shot],-0.012921410293374444,0.9317,-0.30962424496143626,0.28378142437468734
C(prompt_type)[T.parallel],-0.4115456224184386,0.0068,-0.7082484570865009,-0.11484278775037632
C(prompt_type)[T.zero-shot],-0.20584742770152273,0.1729,-0.5025502623695846,0.09085540696653913
size,-0.008397177687884592,0.2042,-0.021394019243456797,0.004599663867687611
size:C(prompt_type)[T.chain-of-thought],0.007605192012508843,0.4157,-0.010775117583395588,0.025985501608413272
size:C(prompt_type)[T.few-shot],0.0062991726657334185,0.5001,-0.012081136930171044,0.02467948226163788
size:C(prompt_type)[T.parallel],0.009365555608710763,0.3163,-0.00901475398719363,0.027745865204615156
size:C(prompt_type)[T.zero-shot],0.010484965172230874,0.2621,-0.00789534442367357,0.02886527476813532
