size,prompt type,z-score
1.5,agentic,0.27682929647638443
1.5,agentic,0.44232881049299105
1.5,agentic,0.3010809964328834
1.5,agentic,0.011287542993271277
1.5,agentic,0.6243512620117666
1.5,agentic,-0.8942750032515796
1.5,agentic,0.024288309573507774
1.5,agentic,0.12989976578731693
1.5,agentic,0.5248623559398834
1.5,zero-shot,0.6717027835257178
1.5,zero-shot,0.3324322870332103
1.5,zero-shot,1.425730622736034
1.5,zero-shot,1.1137042420027559
1.5,zero-shot,1.069385578552499
1.5,zero-shot,1.1013252462019727
1.5,zero-shot,1.1752875336584014
1.5,zero-shot,0.37374548811755803
1.5,zero-shot,1.0824704752598484
1.5,few-shot,-0.3593557659919858
1.5,few-shot,-0.019236588038088046
1.5,few-shot,1.8289069038635788
1.5,few-shot,1.2711923418612536
1.5,few-shot,0.8758923974478328
1.5,few-shot,1.4231962541783523
1.5,few-shot,0.9213906459926161
1.5,few-shot,0.00797690462219637
1.5,few-shot,1.3961250423773288
1.5,parallel,-0.5348550935694673
1.5,parallel,-1.5577879164750184
1.5,parallel,-0.3142933273933689
1.5,parallel,-0.6777228938876566
1.5,parallel,0.5469539895699
1.5,parallel,0.5984017962388799
1.5,parallel,0.011593465190218491
1.5,parallel,-0.11394595654292419
1.5,parallel,-0.4439817513785561
1.5,chain-of-thought,0.5620157037897919
1.5,chain-of-thought,0.6621218574125525
1.5,chain-of-thought,1.1923127757674556
1.5,chain-of-thought,0.5624958924980136
1.5,chain-of-thought,0.9726389880001659
1.5,chain-of-thought,0.940389742213783
1.5,chain-of-thought,0.8790744980483185
1.5,chain-of-thought,0.6175912104477992
1.5,chain-of-thought,0.30878920970339685
3.0,agentic,0.6717027835257178
3.0,agentic,0.90389420902407
3.0,agentic,-0.059655676154919714
3.0,agentic,0.5821819049803258
3.0,agentic,0.2567142179129005
3.0,agentic,-1.2121226236282543
3.0,agentic,0.350122648744599
3.0,agentic,0.80047550219548
3.0,agentic,-0.06759627083757963
3.0,zero-shot,-0.4690428457279118
3.0,zero-shot,0.35441159172516645
3.0,zero-shot,0.3435206049726249
3.0,zero-shot,-0.48086276906453435
3.0,zero-shot,-0.1109228261859655
3.0,zero-shot,0.8196881142226408
3.0,zero-shot,0.7098099062711283
3.0,zero-shot,0.8207959790563335
3.0,zero-shot,-0.4230714469040574
3.0,few-shot,0.36457896026512526
3.0,few-shot,-0.019236588038088046
3.0,few-shot,1.7652474910539664
3.0,few-shot,-0.38243270665297324
3.0,few-shot,0.5082553533489668
3.0,few-shot,1.4231962541783523
3.0,few-shot,0.49822916654964045
3.0,few-shot,0.6785526410303595
3.0,few-shot,-0.6739951005980418
3.0,parallel,0.1452048007932734
3.0,parallel,0.3324322870332103
3.0,parallel,0.23742158362327104
3.0,parallel,-0.30368865672372436
3.0,parallel,0.27606353602336714
3.0,parallel,1.081208308203449
3.0,parallel,1.217603681602699
3.0,parallel,0.515988826143532
3.0,parallel,-0.25578901110806784
3.0,chain-of-thought,-0.22773127030887472
3.0,chain-of-thought,1.035770037175807
3.0,chain-of-thought,0.4482049727039873
3.0,chain-of-thought,-0.3036886567237243
3.0,chain-of-thought,-0.13027214429643214
3.0,chain-of-thought,1.6645995101606368
3.0,chain-of-thought,1.323394051463443
3.0,chain-of-thought,0.7395140716129197
3.0,chain-of-thought,-0.5694435782255483
7.0,agentic,-0.5787299254638377
7.0,agentic,0.596183943336684
7.0,agentic,-0.5264913700920766
7.0,agentic,-0.24463061927678764
7.0,agentic,0.37281012657570034
7.0,agentic,-1.2121226236282543
7.0,agentic,0.8790744980483185
7.0,agentic,0.8817574096388937
7.0,agentic,-0.5903538827000471
